Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
23;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;984;16/10/2018;16/10/2018 15:45:48;;;0;172700;32813;205513;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
24;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;985;16/10/2018;16/10/2018 15:47:59;;;0;817141;155257;972398;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
25;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;986;17/10/2018;17/10/2018 11:57:04;;;0;293590;55782;349372;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
26;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;987;17/10/2018;17/10/2018 11:59:00;;;0;51810;9844;61654;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
27;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;988;17/10/2018;17/10/2018 12:01:20;;;0;183568;34878;218446;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
28;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;989;18/10/2018;19/10/2018 14:28:25;;;0;542688;103111;645799;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
29;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;990;18/10/2018;19/10/2018 14:34:13;;;0;328224;62363;390587;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
30;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;991;18/10/2018;19/10/2018 14:35:55;;;0;726077;137955;864032;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
31;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;992;18/10/2018;19/10/2018 14:37:51;;;0;492336;93544;585880;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
32;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;993;18/10/2018;24/10/2018 11:57:59;;;0;220920;41975;262895;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
33;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;994;23/10/2018;24/10/2018 12:01:09;;;0;339055;64420;403475;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
34;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;995;23/10/2018;24/10/2018 12:10:26;;;0;1272411;241758;1514169;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
