Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
22;33;Del Giro;79752140-K;INVERSIONES SEBASTOPOL SA;2857;16/10/2018;16/10/2018 09:46:46;18/10/2018 10:17:59;;0;149000;28310;177310;0;0;0;0;0;-;0;0;0;0;52;7641;;;0;;0;2;0;0;0;;;;0;;;;;
23;33;Del Giro;84687500-K;PEUGEOT CHILE S.A.;2858;16/10/2018;16/10/2018 12:38:59;;;0;2130000;404700;2534700;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
24;33;Del Giro;84687500-K;PEUGEOT CHILE S.A.;2859;17/10/2018;16/10/2018 12:44:55;;;0;1090800;207252;1298052;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
25;33;Del Giro;84687500-K;PEUGEOT CHILE S.A.;2860;17/10/2018;17/10/2018 10:35:46;;;0;2130000;404700;2534700;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
26;33;Del Giro;84807200-1;BRUNO FRITSCH S.A.;2861;17/10/2018;17/10/2018 16:08:45;18/10/2018 20:39:15;;0;615000;116850;731850;0;0;0;0;0;-;0;0;0;0;52;7654;;;0;;0;2;0;0;0;;;;0;;;;;
27;33;Del Giro;76611509-8;LATAM CAR GROUP SPA;2862;17/10/2018;17/10/2018 17:18:12;;;0;204910;38933;243843;0;0;0;0;0;-;0;0;0;0;52;7627;;;0;;0;2;0;0;0;;;;0;;;;;
28;33;Del Giro;79649140-K;AUTOMOTORES GILDEMEISTER SPA;2863;19/10/2018;18/10/2018 13:39:24;;;0;1368500;260015;1628515;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
29;33;Del Giro;96504160-5;NUEVA MAS VIDA  S.A.;2864;19/10/2018;19/10/2018 16:57:23;;;0;988000;187720;1175720;0;0;0;0;0;-;0;0;0;0;52;7659;;;0;;0;2;0;0;0;;;;0;;;;;
30;33;Del Giro;84687500-K;PEUGEOT CHILE S.A.;2865;21/10/2018;21/10/2018 08:42:13;;;0;1065000;202350;1267350;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
31;33;Del Giro;84687500-K;PEUGEOT CHILE S.A.;2866;21/10/2018;21/10/2018 08:44:01;;;0;530000;100700;630700;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
